Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,turkey,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.003,turkey,0.004
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.004,turkey,0.006
nMx - age-specific death rate between ages x and x+n,60-64 years,0.013,0.007,turkey,0.01
nMx - age-specific death rate between ages x and x+n,65-69 years,0.021,0.011,turkey,0.016
nMx - age-specific death rate between ages x and x+n,70-74 years,0.038,0.021,turkey,0.0295
nMx - age-specific death rate between ages x and x+n,75-79 years,0.069,0.04,turkey,0.0545
nMx - age-specific death rate between ages x and x+n,80-84 years,0.122,0.076,turkey,0.099
nMx - age-specific death rate between ages x and x+n,85+ years,0.237,0.181,turkey,0.209
nMx - age-specific death rate between ages x and x+n,<1 year,0.007,0.006,uae,0.0065
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,uae,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,uae,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,uae,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,uae,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,uae,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,uae,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,uae,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,uae,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,uae,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,uae,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.003,uae,0.0035
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.005,uae,0.0055
nMx - age-specific death rate between ages x and x+n,60-64 years,0.016,0.013,uae,0.0145
nMx - age-specific death rate between ages x and x+n,65-69 years,0.021,0.019,uae,0.02
nMx - age-specific death rate between ages x and x+n,70-74 years,0.036,0.032,uae,0.034
nMx - age-specific death rate between ages x and x+n,75-79 years,0.059,0.051,uae,0.055
nMx - age-specific death rate between ages x and x+n,80-84 years,0.097,0.084,uae,0.0905
nMx - age-specific death rate between ages x and x+n,85+ years,0.189,0.17,uae,0.1795
nMx - age-specific death rate between ages x and x+n,<1 year,0.048,0.041,yemen,0.0445
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,yemen,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,yemen,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,yemen,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.002,yemen,0.002
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,yemen,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,yemen,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.003,yemen,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.004,yemen,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.004,yemen,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.006,yemen,0.0065
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.009,yemen,0.01
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.012,yemen,0.0145
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.019,yemen,0.0225
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.031,yemen,0.036
nMx - age-specific death rate between ages x and x+n,70-74 years,0.063,0.051,yemen,0.057
nMx - age-specific death rate between ages x and x+n,75-79 years,0.099,0.084,yemen,0.0915
nMx - age-specific death rate between ages x and x+n,80-84 years,0.155,0.137,yemen,0.146
nMx - age-specific death rate between ages x and x+n,85+ years,0.262,0.239,yemen,0.2505
