Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,85+ years,0.246,0.231,somalia,0.2385
nMx - age-specific death rate between ages x and x+n,<1 year,0.068,0.058,SouthSudan,0.063
nMx - age-specific death rate between ages x and x+n,01-04 years,0.008,0.009,SouthSudan,0.0085
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,SouthSudan,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,SouthSudan,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,SouthSudan,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.005,0.004,SouthSudan,0.0045
nMx - age-specific death rate between ages x and x+n,25-29 years,0.006,0.005,SouthSudan,0.0055
nMx - age-specific death rate between ages x and x+n,30-34 years,0.007,0.007,SouthSudan,0.007
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.009,SouthSudan,0.009
nMx - age-specific death rate between ages x and x+n,40-44 years,0.01,0.01,SouthSudan,0.01
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.01,SouthSudan,0.0105
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.012,SouthSudan,0.013
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.014,SouthSudan,0.0155
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.021,SouthSudan,0.023
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.032,SouthSudan,0.0345
nMx - age-specific death rate between ages x and x+n,70-74 years,0.058,0.052,SouthSudan,0.055
nMx - age-specific death rate between ages x and x+n,75-79 years,0.092,0.082,SouthSudan,0.087
nMx - age-specific death rate between ages x and x+n,80-84 years,0.145,0.131,SouthSudan,0.138
nMx - age-specific death rate between ages x and x+n,85+ years,0.243,0.23,SouthSudan,0.2365
nMx - age-specific death rate between ages x and x+n,<1 year,0.044,0.038,tanzania,0.041
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,tanzania,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,tanzania,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,tanzania,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,tanzania,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,tanzania,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,tanzania,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,tanzania,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.007,0.005,tanzania,0.006
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.006,tanzania,0.0075
nMx - age-specific death rate between ages x and x+n,45-49 years,0.01,0.007,tanzania,0.0085
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.009,tanzania,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.011,tanzania,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.017,tanzania,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.034,0.028,tanzania,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.052,0.045,tanzania,0.0485
nMx - age-specific death rate between ages x and x+n,75-79 years,0.083,0.074,tanzania,0.0785
nMx - age-specific death rate between ages x and x+n,80-84 years,0.132,0.121,tanzania,0.1265
nMx - age-specific death rate between ages x and x+n,85+ years,0.237,0.218,tanzania,0.2275
nMx - age-specific death rate between ages x and x+n,<1 year,0.044,0.036,uganda,0.04
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,uganda,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,uganda,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,uganda,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,uganda,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.005,0.003,uganda,0.004
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.004,uganda,0.0045
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.005,uganda,0.0055
nMx - age-specific death rate between ages x and x+n,35-39 years,0.008,0.005,uganda,0.0065
nMx - age-specific death rate between ages x and x+n,40-44 years,0.01,0.006,uganda,0.008
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.007,uganda,0.009
nMx - age-specific death rate between ages x and x+n,50-54 years,0.015,0.01,uganda,0.0125
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.012,uganda,0.0145
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.019,uganda,0.022
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.029,uganda,0.0325
nMx - age-specific death rate between ages x and x+n,70-74 years,0.056,0.048,uganda,0.052
nMx - age-specific death rate between ages x and x+n,75-79 years,0.088,0.077,uganda,0.0825
nMx - age-specific death rate between ages x and x+n,80-84 years,0.138,0.125,uganda,0.1315
nMx - age-specific death rate between ages x and x+n,85+ years,0.244,0.222,uganda,0.233
nMx - age-specific death rate between ages x and x+n,<1 year,0.049,0.042,zambia,0.0455
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.005,zambia,0.005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.002,zambia,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,zambia,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,zambia,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,zambia,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.004,zambia,0.0045
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.005,zambia,0.0055
nMx - age-specific death rate between ages x and x+n,35-39 years,0.008,0.006,zambia,0.007
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.007,zambia,0.008
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.008,zambia,0.0095
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.01,zambia,0.012
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.012,zambia,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.024,0.017,zambia,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.027,zambia,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.053,0.044,zambia,0.0485
nMx - age-specific death rate between ages x and x+n,75-79 years,0.084,0.072,zambia,0.078
nMx - age-specific death rate between ages x and x+n,80-84 years,0.132,0.118,zambia,0.125
nMx - age-specific death rate between ages x and x+n,85+ years,0.236,0.215,zambia,0.2255
nMx - age-specific death rate between ages x and x+n,<1 year,0.035,0.03,botswana,0.0325
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,botswana,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,botswana,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,botswana,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,botswana,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,botswana,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.002,botswana,0.0025
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,botswana,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.005,botswana,0.0055
nMx - age-specific death rate between ages x and x+n,40-44 years,0.009,0.006,botswana,0.0075
nMx - age-specific death rate between ages x and x+n,45-49 years,0.011,0.007,botswana,0.009
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.008,botswana,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.011,botswana,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.015,botswana,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.038,0.025,botswana,0.0315
nMx - age-specific death rate between ages x and x+n,70-74 years,0.059,0.042,botswana,0.0505
nMx - age-specific death rate between ages x and x+n,75-79 years,0.092,0.071,botswana,0.0815
nMx - age-specific death rate between ages x and x+n,80-84 years,0.146,0.121,botswana,0.1335
nMx - age-specific death rate between ages x and x+n,85+ years,0.254,0.225,botswana,0.2395
nMx - age-specific death rate between ages x and x+n,<1 year,0.08,0.067,lesotho,0.0735
nMx - age-specific death rate between ages x and x+n,01-04 years,0.006,0.005,lesotho,0.0055
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,lesotho,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,lesotho,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,lesotho,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.005,lesotho,0.0045
nMx - age-specific death rate between ages x and x+n,25-29 years,0.007,0.008,lesotho,0.0075
nMx - age-specific death rate between ages x and x+n,30-34 years,0.011,0.012,lesotho,0.0115
nMx - age-specific death rate between ages x and x+n,35-39 years,0.02,0.017,lesotho,0.0185
nMx - age-specific death rate between ages x and x+n,40-44 years,0.024,0.018,lesotho,0.021
nMx - age-specific death rate between ages x and x+n,45-49 years,0.026,0.017,lesotho,0.0215
nMx - age-specific death rate between ages x and x+n,50-54 years,0.028,0.018,lesotho,0.023
nMx - age-specific death rate between ages x and x+n,55-59 years,0.03,0.02,lesotho,0.025
nMx - age-specific death rate between ages x and x+n,60-64 years,0.037,0.026,lesotho,0.0315
nMx - age-specific death rate between ages x and x+n,65-69 years,0.049,0.037,lesotho,0.043
nMx - age-specific death rate between ages x and x+n,70-74 years,0.071,0.057,lesotho,0.064
nMx - age-specific death rate between ages x and x+n,75-79 years,0.107,0.09,lesotho,0.0985
nMx - age-specific death rate between ages x and x+n,80-84 years,0.163,0.144,lesotho,0.1535
nMx - age-specific death rate between ages x and x+n,85+ years,0.267,0.244,lesotho,0.2555
nMx - age-specific death rate between ages x and x+n,<1 year,0.035,0.029,namibia,0.032
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,namibia,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,namibia,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,namibia,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,namibia,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.003,0.002,namibia,0.0025
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.003,namibia,0.003
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,namibia,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.008,0.007,namibia,0.0075
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.008,namibia,0.0095
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.009,namibia,0.011
nMx - age-specific death rate between ages x and x+n,50-54 years,0.017,0.01,namibia,0.0135
nMx - age-specific death rate between ages x and x+n,55-59 years,0.021,0.013,namibia,0.017
nMx - age-specific death rate between ages x and x+n,60-64 years,0.029,0.018,namibia,0.0235
nMx - age-specific death rate between ages x and x+n,65-69 years,0.042,0.028,namibia,0.035
nMx - age-specific death rate between ages x and x+n,70-74 years,0.063,0.046,namibia,0.0545
nMx - age-specific death rate between ages x and x+n,75-79 years,0.098,0.077,namibia,0.0875
nMx - age-specific death rate between ages x and x+n,80-84 years,0.153,0.129,namibia,0.141
nMx - age-specific death rate between ages x and x+n,85+ years,0.261,0.233,namibia,0.247
nMx - age-specific death rate between ages x and x+n,<1 year,0.038,0.031,SouthAfrica,0.0345
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,SouthAfrica,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,SouthAfrica,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,SouthAfrica,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.001,SouthAfrica,0.0015
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.002,SouthAfrica,0.002
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,SouthAfrica,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.005,SouthAfrica,0.0055
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.008,SouthAfrica,0.0085
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.007,SouthAfrica,0.009
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.008,SouthAfrica,0.0105
nMx - age-specific death rate between ages x and x+n,50-54 years,0.018,0.009,SouthAfrica,0.0135
nMx - age-specific death rate between ages x and x+n,55-59 years,0.024,0.013,SouthAfrica,0.0185
nMx - age-specific death rate between ages x and x+n,60-64 years,0.037,0.019,SouthAfrica,0.028
nMx - age-specific death rate between ages x and x+n,65-69 years,0.054,0.028,SouthAfrica,0.041
nMx - age-specific death rate between ages x and x+n,70-74 years,0.077,0.042,SouthAfrica,0.0595
nMx - age-specific death rate between ages x and x+n,75-79 years,0.108,0.062,SouthAfrica,0.085
nMx - age-specific death rate between ages x and x+n,80-84 years,0.15,0.101,SouthAfrica,0.1255
nMx - age-specific death rate between ages x and x+n,85+ years,0.237,0.184,SouthAfrica,0.2105
nMx - age-specific death rate between ages x and x+n,<1 year,0.06,0.05,swaziland,0.055
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.005,swaziland,0.005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.002,swaziland,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,swaziland,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,swaziland,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.004,swaziland,0.004
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.006,swaziland,0.005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.007,0.008,swaziland,0.0075
nMx - age-specific death rate between ages x and x+n,35-39 years,0.012,0.011,swaziland,0.0115
nMx - age-specific death rate between ages x and x+n,40-44 years,0.016,0.011,swaziland,0.0135
nMx - age-specific death rate between ages x and x+n,45-49 years,0.023,0.012,swaziland,0.0175
nMx - age-specific death rate between ages x and x+n,50-54 years,0.026,0.013,swaziland,0.0195
nMx - age-specific death rate between ages x and x+n,55-59 years,0.028,0.016,swaziland,0.022
nMx - age-specific death rate between ages x and x+n,60-64 years,0.033,0.022,swaziland,0.0275
nMx - age-specific death rate between ages x and x+n,65-69 years,0.046,0.032,swaziland,0.039
nMx - age-specific death rate between ages x and x+n,70-74 years,0.068,0.052,swaziland,0.06
nMx - age-specific death rate between ages x and x+n,75-79 years,0.104,0.084,swaziland,0.094
nMx - age-specific death rate between ages x and x+n,80-84 years,0.159,0.137,swaziland,0.148
nMx - age-specific death rate between ages x and x+n,85+ years,0.266,0.239,swaziland,0.2525
nMx - age-specific death rate between ages x and x+n,<1 year,0.045,0.036,zimbabwe,0.0405
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,zimbabwe,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,zimbabwe,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,zimbabwe,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,zimbabwe,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,zimbabwe,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.005,0.005,zimbabwe,0.005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.006,zimbabwe,0.006
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.009,zimbabwe,0.009
nMx - age-specific death rate between ages x and x+n,40-44 years,0.012,0.01,zimbabwe,0.011
nMx - age-specific death rate between ages x and x+n,45-49 years,0.015,0.011,zimbabwe,0.013
nMx - age-specific death rate between ages x and x+n,50-54 years,0.019,0.013,zimbabwe,0.016
nMx - age-specific death rate between ages x and x+n,55-59 years,0.02,0.014,zimbabwe,0.017
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.019,zimbabwe,0.0225
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.028,zimbabwe,0.0315
nMx - age-specific death rate between ages x and x+n,70-74 years,0.052,0.045,zimbabwe,0.0485
nMx - age-specific death rate between ages x and x+n,75-79 years,0.081,0.072,zimbabwe,0.0765
nMx - age-specific death rate between ages x and x+n,80-84 years,0.129,0.118,zimbabwe,0.1235
nMx - age-specific death rate between ages x and x+n,85+ years,0.23,0.214,zimbabwe,0.222
nMx - age-specific death rate between ages x and x+n,<1 year,0.071,0.062,benin,0.0665
nMx - age-specific death rate between ages x and x+n,01-04 years,0.009,0.01,benin,0.0095
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,benin,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,benin,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,benin,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,benin,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,benin,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,benin,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.004,benin,0.0045
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.006,benin,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,benin,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.009,benin,0.01
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.012,benin,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.018,benin,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.029,benin,0.032
nMx - age-specific death rate between ages x and x+n,70-74 years,0.055,0.048,benin,0.0515
nMx - age-specific death rate between ages x and x+n,75-79 years,0.087,0.078,benin,0.0825
nMx - age-specific death rate between ages x and x+n,80-84 years,0.138,0.126,benin,0.132
nMx - age-specific death rate between ages x and x+n,85+ years,0.245,0.223,benin,0.234
nMx - age-specific death rate between ages x and x+n,<1 year,0.06,0.052,burkinafaso,0.056
nMx - age-specific death rate between ages x and x+n,01-04 years,0.008,0.009,burkinafaso,0.0085
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.004,burkinafaso,0.0035
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,burkinafaso,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.002,0.003,burkinafaso,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,burkinafaso,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,burkinafaso,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.004,burkinafaso,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,burkinafaso,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,burkinafaso,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.007,burkinafaso,0.008
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.009,burkinafaso,0.0105
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.013,burkinafaso,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.022,burkinafaso,0.0245
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.036,burkinafaso,0.0385
nMx - age-specific death rate between ages x and x+n,70-74 years,0.068,0.062,burkinafaso,0.065
nMx - age-specific death rate between ages x and x+n,75-79 years,0.113,0.105,burkinafaso,0.109
nMx - age-specific death rate between ages x and x+n,80-84 years,0.185,0.177,burkinafaso,0.181
nMx - age-specific death rate between ages x and x+n,85+ years,0.315,0.298,burkinafaso,0.3065
nMx - age-specific death rate between ages x and x+n,<1 year,0.061,0.051,camaroon,0.056
nMx - age-specific death rate between ages x and x+n,01-04 years,0.007,0.007,camaroon,0.007
nMx - age-specific death rate between ages x and x+n,05-09 years,0.005,0.004,camaroon,0.0045
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,camaroon,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.004,0.003,camaroon,0.0035
nMx - age-specific death rate between ages x and x+n,20-24 years,0.005,0.004,camaroon,0.0045
nMx - age-specific death rate between ages x and x+n,25-29 years,0.006,0.005,camaroon,0.0055
nMx - age-specific death rate between ages x and x+n,30-34 years,0.007,0.007,camaroon,0.007
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.01,camaroon,0.0095
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.011,camaroon,0.011
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.011,camaroon,0.012
nMx - age-specific death rate between ages x and x+n,50-54 years,0.016,0.013,camaroon,0.0145
nMx - age-specific death rate between ages x and x+n,55-59 years,0.02,0.015,camaroon,0.0175
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.021,camaroon,0.024
nMx - age-specific death rate between ages x and x+n,65-69 years,0.04,0.032,camaroon,0.036
nMx - age-specific death rate between ages x and x+n,70-74 years,0.06,0.051,camaroon,0.0555
nMx - age-specific death rate between ages x and x+n,75-79 years,0.093,0.081,camaroon,0.087
nMx - age-specific death rate between ages x and x+n,80-84 years,0.146,0.13,camaroon,0.138
nMx - age-specific death rate between ages x and x+n,85+ years,0.25,0.225,camaroon,0.2375
nMx - age-specific death rate between ages x and x+n,<1 year,0.02,0.017,capeverde,0.0185
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,capeverde,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,capeverde,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,capeverde,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,capeverde,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,capeverde,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,capeverde,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,capeverde,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,capeverde,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.002,capeverde,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.003,capeverde,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.005,capeverde,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.007,capeverde,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.019,0.012,capeverde,0.0155
nMx - age-specific death rate between ages x and x+n,65-69 years,0.031,0.021,capeverde,0.026
nMx - age-specific death rate between ages x and x+n,70-74 years,0.051,0.036,capeverde,0.0435
nMx - age-specific death rate between ages x and x+n,75-79 years,0.083,0.063,capeverde,0.073
nMx - age-specific death rate between ages x and x+n,80-84 years,0.135,0.11,capeverde,0.1225
nMx - age-specific death rate between ages x and x+n,85+ years,0.246,0.215,capeverde,0.2305
nMx - age-specific death rate between ages x and x+n,<1 year,0.087,0.074,chad,0.0805
nMx - age-specific death rate between ages x and x+n,01-04 years,0.015,0.015,chad,0.015
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,chad,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,chad,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.005,0.004,chad,0.0045
nMx - age-specific death rate between ages x and x+n,20-24 years,0.006,0.005,chad,0.0055
nMx - age-specific death rate between ages x and x+n,25-29 years,0.007,0.006,chad,0.0065
nMx - age-specific death rate between ages x and x+n,30-34 years,0.008,0.007,chad,0.0075
nMx - age-specific death rate between ages x and x+n,35-39 years,0.009,0.009,chad,0.009
nMx - age-specific death rate between ages x and x+n,40-44 years,0.011,0.01,chad,0.0105
nMx - age-specific death rate between ages x and x+n,45-49 years,0.013,0.01,chad,0.0115
nMx - age-specific death rate between ages x and x+n,50-54 years,0.017,0.013,chad,0.015
nMx - age-specific death rate between ages x and x+n,55-59 years,0.021,0.017,chad,0.019
nMx - age-specific death rate between ages x and x+n,60-64 years,0.028,0.023,chad,0.0255
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.036,chad,0.0385
nMx - age-specific death rate between ages x and x+n,70-74 years,0.064,0.057,chad,0.0605
nMx - age-specific death rate between ages x and x+n,75-79 years,0.1,0.089,chad,0.0945
nMx - age-specific death rate between ages x and x+n,80-84 years,0.156,0.141,chad,0.1485
nMx - age-specific death rate between ages x and x+n,85+ years,0.265,0.239,chad,0.252
nMx - age-specific death rate between ages x and x+n,<1 year,0.077,0.06,coteDivoire,0.0685
nMx - age-specific death rate between ages x and x+n,01-04 years,0.007,0.007,coteDivoire,0.007
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.004,coteDivoire,0.0035
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.003,coteDivoire,0.0025
nMx - age-specific death rate between ages x and x+n,15-19  years,0.004,0.004,coteDivoire,0.004
nMx - age-specific death rate between ages x and x+n,20-24 years,0.006,0.005,coteDivoire,0.0055
nMx - age-specific death rate between ages x and x+n,25-29 years,0.007,0.006,coteDivoire,0.0065
nMx - age-specific death rate between ages x and x+n,30-34 years,0.008,0.008,coteDivoire,0.008
nMx - age-specific death rate between ages x and x+n,35-39 years,0.01,0.011,coteDivoire,0.0105
nMx - age-specific death rate between ages x and x+n,40-44 years,0.013,0.012,coteDivoire,0.0125
nMx - age-specific death rate between ages x and x+n,45-49 years,0.016,0.013,coteDivoire,0.0145
nMx - age-specific death rate between ages x and x+n,50-54 years,0.02,0.015,coteDivoire,0.0175
nMx - age-specific death rate between ages x and x+n,55-59 years,0.024,0.019,coteDivoire,0.0215
nMx - age-specific death rate between ages x and x+n,60-64 years,0.034,0.031,coteDivoire,0.0325
nMx - age-specific death rate between ages x and x+n,65-69 years,0.049,0.046,coteDivoire,0.0475
nMx - age-specific death rate between ages x and x+n,70-74 years,0.077,0.071,coteDivoire,0.074
nMx - age-specific death rate between ages x and x+n,75-79 years,0.117,0.109,coteDivoire,0.113
nMx - age-specific death rate between ages x and x+n,80-84 years,0.181,0.169,coteDivoire,0.175
nMx - age-specific death rate between ages x and x+n,85+ years,0.294,0.281,coteDivoire,0.2875
nMx - age-specific death rate between ages x and x+n,<1 year,0.048,0.04,gambia,0.044
nMx - age-specific death rate between ages x and x+n,01-04 years,0.006,0.006,gambia,0.006
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,gambia,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,gambia,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.003,gambia,0.003
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.004,gambia,0.004
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,gambia,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,gambia,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.005,gambia,0.005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.006,gambia,0.0065
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.006,gambia,0.0075
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.009,gambia,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.013,gambia,0.0155
nMx - age-specific death rate between ages x and x+n,60-64 years,0.028,0.021,gambia,0.0245
nMx - age-specific death rate between ages x and x+n,65-69 years,0.043,0.035,gambia,0.039
nMx - age-specific death rate between ages x and x+n,70-74 years,0.07,0.06,gambia,0.065
