Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,greece,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,greece,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,greece,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,greece,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,greece,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,greece,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,greece,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.001,greece,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,greece,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.003,greece,0.005
nMx - age-specific death rate between ages x and x+n,60-64 years,0.012,0.004,greece,0.008
nMx - age-specific death rate between ages x and x+n,65-69 years,0.018,0.007,greece,0.0125
nMx - age-specific death rate between ages x and x+n,70-74 years,0.026,0.013,greece,0.0195
nMx - age-specific death rate between ages x and x+n,75-79 years,0.041,0.024,greece,0.0325
nMx - age-specific death rate between ages x and x+n,80-84 years,0.073,0.061,greece,0.067
nMx - age-specific death rate between ages x and x+n,85+ years,0.161,0.16,greece,0.1605
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.001,iceland,0.0015
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,iceland,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,iceland,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,iceland,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,iceland,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,iceland,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,iceland,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,iceland,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,iceland,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,iceland,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,iceland,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.002,0.002,iceland,0.002
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,iceland,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.005,0.005,iceland,0.005
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.009,iceland,0.0105
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.016,iceland,0.0195
nMx - age-specific death rate between ages x and x+n,75-79 years,0.032,0.027,iceland,0.0295
nMx - age-specific death rate between ages x and x+n,80-84 years,0.07,0.05,iceland,0.06
nMx - age-specific death rate between ages x and x+n,85+ years,0.172,0.146,iceland,0.159
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,ireland,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,ireland,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,ireland,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,ireland,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,ireland,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,ireland,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,ireland,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,ireland,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,ireland,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,ireland,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,ireland,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,ireland,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.004,ireland,0.005
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.005,ireland,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.009,ireland,0.011
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.014,ireland,0.0185
nMx - age-specific death rate between ages x and x+n,75-79 years,0.039,0.025,ireland,0.032
nMx - age-specific death rate between ages x and x+n,80-84 years,0.078,0.059,ireland,0.0685
nMx - age-specific death rate between ages x and x+n,85+ years,0.18,0.155,ireland,0.1675
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,isreal,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,isreal,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,isreal,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,isreal,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,isreal,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,isreal,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,isreal,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,isreal,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,isreal,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,isreal,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,isreal,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,isreal,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.003,isreal,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.005,isreal,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.008,isreal,0.011
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.013,isreal,0.017
nMx - age-specific death rate between ages x and x+n,75-79 years,0.043,0.029,isreal,0.036
nMx - age-specific death rate between ages x and x+n,80-84 years,0.067,0.051,isreal,0.059
nMx - age-specific death rate between ages x and x+n,85+ years,0.154,0.14,isreal,0.147
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,italy,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,italy,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,italy,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,italy,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,italy,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,italy,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,italy,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,italy,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,italy,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,italy,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,italy,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,italy,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,italy,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.004,italy,0.006
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.007,italy,0.01
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.012,italy,0.0175
nMx - age-specific death rate between ages x and x+n,75-79 years,0.036,0.021,italy,0.0285
nMx - age-specific death rate between ages x and x+n,80-84 years,0.069,0.046,italy,0.0575
nMx - age-specific death rate between ages x and x+n,85+ years,0.167,0.142,italy,0.1545
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,luxembourg,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,luxembourg,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,luxembourg,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,luxembourg,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,luxembourg,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,luxembourg,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,luxembourg,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.003,luxembourg,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.005,luxembourg,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.009,luxembourg,0.0115
nMx - age-specific death rate between ages x and x+n,70-74 years,0.025,0.014,luxembourg,0.0195
nMx - age-specific death rate between ages x and x+n,75-79 years,0.04,0.026,luxembourg,0.033
nMx - age-specific death rate between ages x and x+n,80-84 years,0.066,0.041,luxembourg,0.0535
nMx - age-specific death rate between ages x and x+n,85+ years,0.166,0.139,luxembourg,0.1525
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,netherlands,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,netherlands,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,netherlands,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,netherlands,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,netherlands,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,netherlands,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.003,netherlands,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.004,netherlands,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.006,netherlands,0.0075
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.01,netherlands,0.012
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.015,netherlands,0.019
nMx - age-specific death rate between ages x and x+n,75-79 years,0.041,0.026,netherlands,0.0335
nMx - age-specific death rate between ages x and x+n,80-84 years,0.077,0.052,netherlands,0.0645
nMx - age-specific death rate between ages x and x+n,85+ years,0.178,0.15,netherlands,0.164
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,norway,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,norway,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,norway,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,norway,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,norway,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,norway,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,norway,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,norway,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,norway,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,norway,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,norway,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,norway,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,norway,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.005,norway,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.008,norway,0.0105
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.014,norway,0.0175
nMx - age-specific death rate between ages x and x+n,75-79 years,0.037,0.025,norway,0.031
nMx - age-specific death rate between ages x and x+n,80-84 years,0.07,0.047,norway,0.0585
nMx - age-specific death rate between ages x and x+n,85+ years,0.171,0.144,norway,0.1575
nMx - age-specific death rate between ages x and x+n,<1 year,0.005,0.004,malta,0.0045
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,malta,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,malta,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,malta,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,malta,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,malta,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,malta,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,malta,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.005,malta,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.008,malta,0.011
nMx - age-specific death rate between ages x and x+n,70-74 years,0.022,0.013,malta,0.0175
nMx - age-specific death rate between ages x and x+n,75-79 years,0.043,0.026,malta,0.0345
nMx - age-specific death rate between ages x and x+n,80-84 years,0.078,0.064,malta,0.071
nMx - age-specific death rate between ages x and x+n,85+ years,0.176,0.159,malta,0.1675
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,portugal,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,portugal,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,portugal,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,portugal,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,portugal,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,portugal,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,portugal,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,portugal,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,portugal,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,portugal,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.001,portugal,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.006,0.002,portugal,0.004
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.003,portugal,0.0055
nMx - age-specific death rate between ages x and x+n,60-64 years,0.011,0.004,portugal,0.0075
nMx - age-specific death rate between ages x and x+n,65-69 years,0.015,0.007,portugal,0.011
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.011,portugal,0.017
nMx - age-specific death rate between ages x and x+n,75-79 years,0.04,0.023,portugal,0.0315
nMx - age-specific death rate between ages x and x+n,80-84 years,0.076,0.051,portugal,0.0635
nMx - age-specific death rate between ages x and x+n,85+ years,0.175,0.146,portugal,0.1605
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,spain,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,spain,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,spain,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,spain,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,spain,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,spain,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,spain,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.003,spain,0.0045
nMx - age-specific death rate between ages x and x+n,60-64 years,0.01,0.004,spain,0.007
nMx - age-specific death rate between ages x and x+n,65-69 years,0.015,0.006,spain,0.0105
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.009,spain,0.015
nMx - age-specific death rate between ages x and x+n,75-79 years,0.039,0.019,spain,0.029
nMx - age-specific death rate between ages x and x+n,80-84 years,0.064,0.041,spain,0.0525
nMx - age-specific death rate between ages x and x+n,85+ years,0.159,0.136,spain,0.1475
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,sweden,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,sweden,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,sweden,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,sweden,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,sweden,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,sweden,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,sweden,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,sweden,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,sweden,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,sweden,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,sweden,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,sweden,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.004,0.003,sweden,0.0035
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.005,sweden,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.013,0.008,sweden,0.0105
nMx - age-specific death rate between ages x and x+n,70-74 years,0.022,0.015,sweden,0.0185
nMx - age-specific death rate between ages x and x+n,75-79 years,0.037,0.025,sweden,0.031
nMx - age-specific death rate between ages x and x+n,80-84 years,0.067,0.048,sweden,0.0575
nMx - age-specific death rate between ages x and x+n,85+ years,0.171,0.146,sweden,0.1585
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,switzerland,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,switzerland,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,switzerland,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,switzerland,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,switzerland,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,switzerland,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,switzerland,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,switzerland,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.004,switzerland,0.006
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.007,switzerland,0.0095
nMx - age-specific death rate between ages x and x+n,70-74 years,0.02,0.011,switzerland,0.0155
nMx - age-specific death rate between ages x and x+n,75-79 years,0.032,0.021,switzerland,0.0265
nMx - age-specific death rate between ages x and x+n,80-84 years,0.061,0.041,switzerland,0.051
nMx - age-specific death rate between ages x and x+n,85+ years,0.166,0.142,switzerland,0.154
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,unitedkingdom,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,unitedkingdom,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,unitedkingdom,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,unitedkingdom,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,unitedkingdom,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,unitedkingdom,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,unitedkingdom,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,unitedkingdom,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,unitedkingdom,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,unitedkingdom,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.002,unitedkingdom,0.0025
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.002,unitedkingdom,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.006,0.004,unitedkingdom,0.005
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.006,unitedkingdom,0.0075
nMx - age-specific death rate between ages x and x+n,65-69 years,0.014,0.009,unitedkingdom,0.0115
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.016,unitedkingdom,0.0195
nMx - age-specific death rate between ages x and x+n,75-79 years,0.04,0.028,unitedkingdom,0.034
nMx - age-specific death rate between ages x and x+n,80-84 years,0.068,0.052,unitedkingdom,0.06
nMx - age-specific death rate between ages x and x+n,85+ years,0.163,0.144,unitedkingdom,0.1535
