Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.002,kiribati,0.003
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,kiribati,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.005,kiribati,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.011,0.007,kiribati,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.011,kiribati,0.014
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.017,kiribati,0.0215
nMx - age-specific death rate between ages x and x+n,65-69 years,0.04,0.027,kiribati,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.062,0.046,kiribati,0.054
nMx - age-specific death rate between ages x and x+n,75-79 years,0.098,0.078,kiribati,0.088
nMx - age-specific death rate between ages x and x+n,80-84 years,0.154,0.131,kiribati,0.1425
nMx - age-specific death rate between ages x and x+n,85+ years,0.263,0.236,kiribati,0.2495
nMx - age-specific death rate between ages x and x+n,<1 year,0.047,0.042,pupnewguin,0.0445
nMx - age-specific death rate between ages x and x+n,01-04 years,0.003,0.003,pupnewguin,0.003
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.001,pupnewguin,0.0015
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,pupnewguin,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,pupnewguin,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,pupnewguin,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,pupnewguin,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,pupnewguin,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,pupnewguin,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.004,pupnewguin,0.005
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,pupnewguin,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.014,0.009,pupnewguin,0.0115
nMx - age-specific death rate between ages x and x+n,55-59 years,0.02,0.013,pupnewguin,0.0165
nMx - age-specific death rate between ages x and x+n,60-64 years,0.032,0.02,pupnewguin,0.026
nMx - age-specific death rate between ages x and x+n,65-69 years,0.047,0.03,pupnewguin,0.0385
nMx - age-specific death rate between ages x and x+n,70-74 years,0.067,0.044,pupnewguin,0.0555
nMx - age-specific death rate between ages x and x+n,75-79 years,0.093,0.065,pupnewguin,0.079
nMx - age-specific death rate between ages x and x+n,80-84 years,0.128,0.099,pupnewguin,0.1135
nMx - age-specific death rate between ages x and x+n,85+ years,0.204,0.176,pupnewguin,0.19
nMx - age-specific death rate between ages x and x+n,<1 year,0.024,0.021,solomanislands,0.0225
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,solomanislands,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,solomanislands,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,solomanislands,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,solomanislands,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,solomanislands,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,solomanislands,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,solomanislands,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.002,solomanislands,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.003,solomanislands,0.003
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.004,solomanislands,0.0045
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.006,solomanislands,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.009,solomanislands,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.021,0.014,solomanislands,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.024,solomanislands,0.0285
nMx - age-specific death rate between ages x and x+n,70-74 years,0.054,0.042,solomanislands,0.048
nMx - age-specific death rate between ages x and x+n,75-79 years,0.086,0.072,solomanislands,0.079
nMx - age-specific death rate between ages x and x+n,80-84 years,0.14,0.123,solomanislands,0.1315
nMx - age-specific death rate between ages x and x+n,85+ years,0.251,0.229,solomanislands,0.24
nMx - age-specific death rate between ages x and x+n,<1 year,0.012,0.017,tonga,0.0145
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,tonga,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0,tonga,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,tonga,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,tonga,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,tonga,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,tonga,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,tonga,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,tonga,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,tonga,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,tonga,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.005,tonga,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.008,tonga,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.025,0.012,tonga,0.0185
nMx - age-specific death rate between ages x and x+n,65-69 years,0.039,0.02,tonga,0.0295
nMx - age-specific death rate between ages x and x+n,70-74 years,0.058,0.031,tonga,0.0445
nMx - age-specific death rate between ages x and x+n,75-79 years,0.085,0.048,tonga,0.0665
nMx - age-specific death rate between ages x and x+n,80-84 years,0.125,0.082,tonga,0.1035
nMx - age-specific death rate between ages x and x+n,85+ years,0.215,0.163,tonga,0.189
nMx - age-specific death rate between ages x and x+n,<1 year,0.025,0.022,vanuatu,0.0235
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,vanuatu,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,vanuatu,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,vanuatu,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,vanuatu,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,vanuatu,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,vanuatu,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,vanuatu,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,vanuatu,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,vanuatu,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.003,vanuatu,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.005,vanuatu,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.008,vanuatu,0.01
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.012,vanuatu,0.016
nMx - age-specific death rate between ages x and x+n,65-69 years,0.032,0.021,vanuatu,0.0265
nMx - age-specific death rate between ages x and x+n,70-74 years,0.052,0.037,vanuatu,0.0445
nMx - age-specific death rate between ages x and x+n,75-79 years,0.085,0.064,vanuatu,0.0745
nMx - age-specific death rate between ages x and x+n,80-84 years,0.138,0.112,vanuatu,0.125
nMx - age-specific death rate between ages x and x+n,85+ years,0.248,0.216,vanuatu,0.232
