Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,romania,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,romania,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,romania,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.001,romania,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.002,romania,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.004,romania,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.006,romania,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.009,romania,0.016
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.015,romania,0.024
nMx - age-specific death rate between ages x and x+n,70-74 years,0.047,0.025,romania,0.036
nMx - age-specific death rate between ages x and x+n,75-79 years,0.072,0.043,romania,0.0575
nMx - age-specific death rate between ages x and x+n,80-84 years,0.102,0.079,romania,0.0905
nMx - age-specific death rate between ages x and x+n,85+ years,0.186,0.179,romania,0.1825
nMx - age-specific death rate between ages x and x+n,<1 year,0.005,0.005,serbia,0.005
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,serbia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,serbia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,serbia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,serbia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,serbia,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,serbia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,serbia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,serbia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,serbia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,serbia,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.004,serbia,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.006,serbia,0.009
nMx - age-specific death rate between ages x and x+n,60-64 years,0.019,0.009,serbia,0.014
nMx - age-specific death rate between ages x and x+n,65-69 years,0.024,0.013,serbia,0.0185
nMx - age-specific death rate between ages x and x+n,70-74 years,0.048,0.03,serbia,0.039
nMx - age-specific death rate between ages x and x+n,75-79 years,0.077,0.054,serbia,0.0655
nMx - age-specific death rate between ages x and x+n,80-84 years,0.122,0.091,serbia,0.1065
nMx - age-specific death rate between ages x and x+n,85+ years,0.222,0.193,serbia,0.2075
nMx - age-specific death rate between ages x and x+n,<1 year,0.006,0.005,slovakia,0.0055
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,slovakia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,slovakia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,slovakia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,slovakia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,slovakia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,slovakia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,slovakia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,slovakia,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,slovakia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,slovakia,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.007,0.003,slovakia,0.005
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.005,slovakia,0.0085
nMx - age-specific death rate between ages x and x+n,60-64 years,0.02,0.008,slovakia,0.014
nMx - age-specific death rate between ages x and x+n,65-69 years,0.027,0.012,slovakia,0.0195
nMx - age-specific death rate between ages x and x+n,70-74 years,0.042,0.019,slovakia,0.0305
nMx - age-specific death rate between ages x and x+n,75-79 years,0.064,0.036,slovakia,0.05
nMx - age-specific death rate between ages x and x+n,80-84 years,0.1,0.071,slovakia,0.0855
nMx - age-specific death rate between ages x and x+n,85+ years,0.189,0.168,slovakia,0.1785
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,slovenia,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,slovenia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,slovenia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,slovenia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,slovenia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,slovenia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,slovenia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,slovenia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,slovenia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,slovenia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.001,slovenia,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.002,slovenia,0.0035
nMx - age-specific death rate between ages x and x+n,55-59 years,0.008,0.004,slovenia,0.006
nMx - age-specific death rate between ages x and x+n,60-64 years,0.012,0.006,slovenia,0.009
nMx - age-specific death rate between ages x and x+n,65-69 years,0.019,0.009,slovenia,0.014
nMx - age-specific death rate between ages x and x+n,70-74 years,0.028,0.014,slovenia,0.021
nMx - age-specific death rate between ages x and x+n,75-79 years,0.043,0.025,slovenia,0.034
nMx - age-specific death rate between ages x and x+n,80-84 years,0.079,0.051,slovenia,0.065
nMx - age-specific death rate between ages x and x+n,85+ years,0.175,0.152,slovenia,0.1635
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.003,belarus,0.003
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,belarus,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,belarus,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,belarus,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,belarus,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,belarus,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0,belarus,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,belarus,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.001,belarus,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,belarus,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.003,belarus,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.004,belarus,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.018,0.006,belarus,0.012
nMx - age-specific death rate between ages x and x+n,60-64 years,0.032,0.009,belarus,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.013,belarus,0.0245
nMx - age-specific death rate between ages x and x+n,70-74 years,0.065,0.026,belarus,0.0455
nMx - age-specific death rate between ages x and x+n,75-79 years,0.08,0.042,belarus,0.061
nMx - age-specific death rate between ages x and x+n,80-84 years,0.121,0.079,belarus,0.1
nMx - age-specific death rate between ages x and x+n,85+ years,0.205,0.178,belarus,0.1915
nMx - age-specific death rate between ages x and x+n,<1 year,0.003,0.002,estonia,0.0025
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,estonia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,estonia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,estonia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,estonia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,estonia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,estonia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,estonia,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,estonia,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.001,estonia,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,estonia,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.003,estonia,0.0055
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.005,estonia,0.009
nMx - age-specific death rate between ages x and x+n,60-64 years,0.021,0.007,estonia,0.014
nMx - age-specific death rate between ages x and x+n,65-69 years,0.029,0.01,estonia,0.0195
nMx - age-specific death rate between ages x and x+n,70-74 years,0.044,0.018,estonia,0.031
nMx - age-specific death rate between ages x and x+n,75-79 years,0.056,0.028,estonia,0.042
nMx - age-specific death rate between ages x and x+n,80-84 years,0.09,0.055,estonia,0.0725
nMx - age-specific death rate between ages x and x+n,85+ years,0.178,0.153,estonia,0.1655
nMx - age-specific death rate between ages x and x+n,<1 year,0.006,0.005,latvia,0.0055
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,latvia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,latvia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,latvia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,latvia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,latvia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0,latvia,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,latvia,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.001,latvia,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.002,latvia,0.0035
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.003,latvia,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.004,latvia,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.006,latvia,0.0115
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.009,latvia,0.0175
nMx - age-specific death rate between ages x and x+n,65-69 years,0.036,0.013,latvia,0.0245
nMx - age-specific death rate between ages x and x+n,70-74 years,0.051,0.022,latvia,0.0365
nMx - age-specific death rate between ages x and x+n,75-79 years,0.065,0.035,latvia,0.05
nMx - age-specific death rate between ages x and x+n,80-84 years,0.104,0.071,latvia,0.0875
nMx - age-specific death rate between ages x and x+n,85+ years,0.196,0.173,latvia,0.1845
nMx - age-specific death rate between ages x and x+n,<1 year,0.005,0.004,lithuania,0.0045
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,lithuania,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,lithuania,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,lithuania,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,lithuania,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,lithuania,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0,lithuania,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,lithuania,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.001,lithuania,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,lithuania,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.003,lithuania,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.004,lithuania,0.008
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.005,lithuania,0.0105
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.009,lithuania,0.018
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.013,lithuania,0.025
nMx - age-specific death rate between ages x and x+n,70-74 years,0.049,0.02,lithuania,0.0345
nMx - age-specific death rate between ages x and x+n,75-79 years,0.064,0.033,lithuania,0.0485
nMx - age-specific death rate between ages x and x+n,80-84 years,0.116,0.068,lithuania,0.092
nMx - age-specific death rate between ages x and x+n,85+ years,0.209,0.169,lithuania,0.189
nMx - age-specific death rate between ages x and x+n,<1 year,0.015,0.013,moldova,0.014
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,moldova,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,moldova,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,moldova,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,moldova,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,moldova,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,moldova,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,moldova,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,moldova,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.002,moldova,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.003,moldova,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.005,moldova,0.009
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.007,moldova,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.03,0.012,moldova,0.021
nMx - age-specific death rate between ages x and x+n,65-69 years,0.044,0.023,moldova,0.0335
nMx - age-specific death rate between ages x and x+n,70-74 years,0.063,0.038,moldova,0.0505
nMx - age-specific death rate between ages x and x+n,75-79 years,0.095,0.067,moldova,0.081
nMx - age-specific death rate between ages x and x+n,80-84 years,0.134,0.109,moldova,0.1215
nMx - age-specific death rate between ages x and x+n,85+ years,0.23,0.212,moldova,0.221
nMx - age-specific death rate between ages x and x+n,<1 year,0.008,0.006,russia,0.007
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,russia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,russia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,russia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,russia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,russia,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.003,0.001,russia,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.006,0.002,russia,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.002,russia,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.003,russia,0.005
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.003,russia,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.004,russia,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.021,0.007,russia,0.014
nMx - age-specific death rate between ages x and x+n,60-64 years,0.03,0.011,russia,0.0205
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.016,russia,0.0285
nMx - age-specific death rate between ages x and x+n,70-74 years,0.054,0.025,russia,0.0395
nMx - age-specific death rate between ages x and x+n,75-79 years,0.084,0.048,russia,0.066
nMx - age-specific death rate between ages x and x+n,80-84 years,0.118,0.082,russia,0.1
nMx - age-specific death rate between ages x and x+n,85+ years,0.202,0.181,russia,0.1915
nMx - age-specific death rate between ages x and x+n,<1 year,0.009,0.008,ukraine,0.0085
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,ukraine,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,ukraine,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,ukraine,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,ukraine,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,ukraine,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,ukraine,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.001,ukraine,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.002,ukraine,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.002,ukraine,0.0045
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.003,ukraine,0.006
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.004,ukraine,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.006,ukraine,0.0125
nMx - age-specific death rate between ages x and x+n,60-64 years,0.03,0.01,ukraine,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.037,0.016,ukraine,0.0265
nMx - age-specific death rate between ages x and x+n,70-74 years,0.063,0.032,ukraine,0.0475
nMx - age-specific death rate between ages x and x+n,75-79 years,0.081,0.048,ukraine,0.0645
nMx - age-specific death rate between ages x and x+n,80-84 years,0.116,0.089,ukraine,0.1025
nMx - age-specific death rate between ages x and x+n,85+ years,0.205,0.19,ukraine,0.1975
